taxon   max_age min_age
Haptodus    307 303.7
Dimetrodon  299 273
Raranimus   273 269
Tetraceratops   282.5   278
Biarmosuchus    264 257
Hipposaurus 262 260.26
Herpetoskylax   256.247 255.2
Lemurosaurus    256.247 255.2
NMQR_1702   256.247 255.2
Lende   256.247 255.2
Leucocephalus   259.262 256.8
Australosyodon  268.5   264.4
Sinophoneus 273 269
Syodon  267 257
Titanophoneus   267 257
Anterosaurus    264.4   260.26
Styracocephalus 262 260.26
Tapinocaninus   268.5   264.4
Moschops    264.4   260.26
Biseridens  273 269
Patranomodon    268.5   264.4
Suminia 261 258
Eodicynodon 268.5   264.4
Nyaphulia   268.5   264.4
Diictodon   260.41  252.24
Niassodon   256.25  255.2
Cynariops   259.26  256.25
Aelurognathus   259.26  252
Gorgonops   260.26  256.25
Eriphostoma 261.24  259.26
Phorcys 264.4   262
Lycosuchus  261.24  259.26
Glanosuchus 268.5   259.26
Simorhinella    261.24  260.26
Procynosuchus   255.2   252
Galesaurus  252 249.5
Thrinaxodon 252 249.5
